REF_DATE,GEO,Products and product groups,VALUE
2020-10,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",172.6
2020-11,Canada,"Alcoholic beverages, tobacco products and recreational cannabis",172.2
2020-07,Canada,Alcoholic beverages served in licensed establishments,148.1
2020-08,Canada,Alcoholic beverages served in licensed establishments,147.8
2020-09,Canada,Alcoholic beverages served in licensed establishments,147.9
2020-10,Canada,Alcoholic beverages served in licensed establishments,148.2
2020-11,Canada,Alcoholic beverages served in licensed establishments,147.5
2020-07,Canada,Alcoholic beverages purchased from stores,124.8
2020-08,Canada,Alcoholic beverages purchased from stores,125.1
2020-09,Canada,Alcoholic beverages purchased from stores,125.8
2020-10,Canada,Alcoholic beverages purchased from stores,126.3
2020-11,Canada,Alcoholic beverages purchased from stores,126.0
2020-07,Canada,Cigarettes,244.3
2020-08,Canada,Cigarettes,244.5
2020-09,Canada,Cigarettes,247.3
2020-10,Canada,Cigarettes,249.7
2020-11,Canada,Cigarettes,249.6
2020-07,Canada,Other tobacco products and smokers' supplies,249.7
2020-08,Canada,Other tobacco products and smokers' supplies,249.9
2020-09,Canada,Other tobacco products and smokers' supplies,252.6
2020-10,Canada,Other tobacco products and smokers' supplies,255.3
2020-11,Canada,Other tobacco products and smokers' supplies,255.1
2020-07,Canada,Recreational cannabis,89.2
2020-08,Canada,Recreational cannabis,88.3
2020-09,Canada,Recreational cannabis,85.8
2020-10,Canada,Recreational cannabis,84.0
2020-11,Canada,Recreational cannabis,83.8
